response_date,nps_score,comment,channel,member_segment,member_tenure_years
2024-04-29,7,,branch,youth,22.9
2024-10-21,9,"Quick and efficient service, the staff managed the queue well.",branch,youth,14.6
2024-09-10,10,The high-yield savings product is genuinely competitive. Very happy.,mobile,senior,5.7
2024-06-30,3,There is no ATM within walking distance of my neighborhood.,phone,retail,15.4
2024-01-01,3,The monthly maintenance fee is too high for a basic checking account.,mobile,senior,19.8
2024-08-01,9,"Rate was locked in immediately during the application, no surprises at closing.",mobile,senior,11.5
2024-04-22,8,Got a better mortgage rate here than anywhere else I shopped.,online,retail,14.2
2024-11-06,9,"Quick and efficient service, the staff managed the queue well.",online,senior,11.3
2024-07-06,8,,phone,small_business,6.8
2024-03-28,4,Staff seemed uninterested in helping. Felt like I was bothering them.,mobile,small_business,11.8
2024-11-26,0,,phone,senior,1.3
2024-04-21,6,"The teller line was incredibly long today, waited over 45 minutes just to make a deposit.",branch,youth,1.9
2024-12-19,3,The mobile app keeps crashing when I try to view my statement. Very frustrating.,phone,senior,24.9
2024-08-28,0,Interest rate on my personal loan was higher than other banks offered.,branch,youth,6.0
2024-08-29,8,ATM fee reimbursement policy is excellent. Use any ATM for free.,mobile,senior,5.2
2024-12-23,4,Too much paperwork required for a small personal loan. Overly bureaucratic.,branch,small_business,17.9
2024-02-25,5,Got a letter about policy changes but it was confusing legal jargon.,phone,senior,10.2
2024-06-18,1,Credit card APR is too high. Will be transferring my balance elsewhere.,mobile,youth,16.9
2024-10-10,3,Never received a notification when my account balance was low. Got hit with overdraft.,branch,small_business,7.0
2024-02-11,7,ATM fee reimbursement policy is excellent. Use any ATM for free.,mobile,senior,17.5
2024-02-08,8,Every staff member I interacted with was friendly and professional.,online,senior,17.4
2024-04-06,10,Refinancing my home loan was quick and the rate was excellent.,mobile,senior,6.2
2024-08-27,9,Got a better mortgage rate here than anywhere else I shopped.,branch,retail,17.2
2024-04-23,10,,branch,senior,22.8
2024-04-30,4,Wire transfer fee is  per transaction. Way too expensive.,mobile,retail,15.7
2024-07-15,6,Had to submit the same documents three times. Very disorganized process.,branch,small_business,9.8
2024-02-29,10,The app notifications keep me on top of my spending. Really helpful.,phone,small_business,14.7
2024-10-24,4,The new teller made an error and was unapologetic about it.,phone,senior,24.9
2024-11-13,4,,mobile,retail,22.6
2024-05-15,9,The app notifications keep me on top of my spending. Really helpful.,mobile,small_business,4.8
2024-07-18,3,Got a letter about policy changes but it was confusing legal jargon.,online,youth,10.9
2024-05-21,7,Face ID login on the app is seamless. Saves so much time.,phone,small_business,16.1
2024-06-02,9,Recent app redesign is clean and much easier to use than before.,online,youth,10.4
2024-03-25,3,The ATM at the main branch is out of service more often than not.,online,small_business,23.3
2024-08-07,7,Text and email alerts are timely and easy to customize. Very useful.,online,small_business,1.7
2024-11-16,9,I was surprised how quickly I was helped at the branch. No wait at all.,mobile,senior,3.3
2024-12-06,6,Wish the app had more features like budget tracking. Competitors have this.,phone,retail,18.1
2024-02-02,8,Refinancing my home loan was quick and the rate was excellent.,mobile,small_business,0.7
2024-07-27,8,Text and email alerts are timely and easy to customize. Very useful.,branch,senior,9.2
2024-11-21,6,Wire transfer fee is  per transaction. Way too expensive.,online,small_business,11.2
2024-11-28,8,My mortgage was approved in 3 days! Incredibly fast and smooth process.,online,retail,6.6
2024-07-07,8,The loan officer walked me through every step. Felt very supported.,branch,small_business,24.1
2024-03-21,4,Charged twice for the same service and it took weeks to get a refund.,phone,retail,16.9
2024-08-31,9,Greeted by name when I walked in. That small touch means a lot.,mobile,youth,19.3
2024-09-24,6,ATM machine swallowed my card and the fix took 5 business days.,phone,senior,11.9
2024-07-24,9,Proactive fraud alert saved me. Impressed with how fast the team reached out.,branch,small_business,4.2
2024-04-27,9,,phone,small_business,16.1
2024-12-17,0,,online,youth,19.5
2024-05-08,6,ATM fees add up quickly if you are not careful. Needs more free ATMs.,branch,retail,16.0
2024-02-24,5,My loan rate keeps fluctuating in ways I do not understand.,mobile,youth,7.4
2024-03-30,4,My small business loan application was rejected with no clear explanation.,online,youth,4.9
2024-01-20,4,,online,retail,2.9
2024-06-29,8,My mortgage was approved in 3 days! Incredibly fast and smooth process.,online,senior,13.7
2024-10-26,6,The mobile app keeps crashing when I try to view my statement. Very frustrating.,branch,senior,12.2
2024-10-15,6,Got charged an inactivity fee I had no idea existed. Very misleading.,branch,small_business,3.4
2024-04-28,7,Face ID login on the app is seamless. Saves so much time.,mobile,youth,3.4
2024-04-25,5,Wish the app had more features like budget tracking. Competitors have this.,phone,small_business,2.2
2024-05-07,10,Waived my overdraft fee as a one-time courtesy. Really appreciated that.,branch,senior,20.3
2024-12-03,6,,phone,retail,14.4
2024-02-05,10,Waived my overdraft fee as a one-time courtesy. Really appreciated that.,branch,retail,23.8
2024-07-29,5,Mobile check deposit feature is broken. Keeps saying image is too blurry.,mobile,small_business,4.8
2024-10-08,3,ATM fees add up quickly if you are not careful. Needs more free ATMs.,online,youth,8.0
2024-06-02,4,Communication about the branch closure was very last-minute and unhelpful.,branch,retail,11.7
2024-01-27,8,Staff are knowledgeable and patient. Never feel rushed.,online,retail,20.6
2024-06-03,6,"The teller line was incredibly long today, waited over 45 minutes just to make a deposit.",branch,retail,9.0
2024-08-02,5,ATM machine swallowed my card and the fix took 5 business days.,phone,youth,5.5
2024-10-01,6,No one told me my direct deposit setup failed until payday. Unacceptable.,mobile,small_business,5.8
2024-06-01,6,The mobile app keeps crashing when I try to view my statement. Very frustrating.,online,small_business,11.4
2024-08-07,9,No monthly fee if you maintain a low minimum balance. Very fair.,branch,youth,0.8
2024-05-03,5,Never received a notification when my account balance was low. Got hit with overdraft.,online,senior,19.9
2024-10-15,10,The high-yield savings product is genuinely competitive. Very happy.,branch,small_business,12.9
2024-07-29,7,The app is intuitive and easy to navigate. Best banking app I have used.,online,senior,10.0
2024-01-31,9,Love that your ATMs are in most grocery stores near me.,branch,small_business,15.8
2024-09-30,2,The teller was rude and dismissive when I asked a simple question.,branch,retail,14.1
2024-08-05,5,ATM machine swallowed my card and the fix took 5 business days.,online,youth,5.4
2024-07-29,9,Student checking has no fees at all. Perfect for my situation.,branch,retail,2.0
2024-08-26,4,The ATM at the main branch is out of service more often than not.,mobile,senior,10.0
2024-02-24,10,Greeted by name when I walked in. That small touch means a lot.,phone,small_business,4.2
2024-05-15,8,ATM network is extensive. Have never had trouble finding one while traveling.,online,retail,21.4
2024-11-02,4,Checking account earns zero interest. Should offer at least something.,mobile,retail,7.3
2024-07-13,8,Student checking has no fees at all. Perfect for my situation.,online,youth,8.8
2024-05-31,3,Phone hold times are unacceptable. Spent 30 minutes waiting to speak to someone.,mobile,youth,0.8
2024-08-18,3,Communication about the branch closure was very last-minute and unhelpful.,online,senior,8.7
2024-09-22,8,Got a better mortgage rate here than anywhere else I shopped.,online,senior,19.1
2024-12-25,6,Customer service rep was curt and unhelpful over the phone.,branch,small_business,23.1
2024-04-30,5,The auto loan approval process took over two weeks. Way too slow.,mobile,small_business,4.1
2024-10-01,1,,online,youth,17.0
2024-07-13,8,ATM network is extensive. Have never had trouble finding one while traveling.,online,youth,21.0
2024-06-03,10,,online,retail,3.9
2024-04-19,4,My small business loan application was rejected with no clear explanation.,mobile,retail,7.5
2024-03-03,4,"The drive-through line moved really slowly, took me 20 minutes during lunch.",online,youth,23.8
2024-03-16,9,Fee schedule is clearly disclosed and there are no hidden charges.,branch,retail,19.6
2024-10-11,5,Mobile check deposit feature is broken. Keeps saying image is too blurry.,online,small_business,5.2
2024-08-14,3,Always a long line on Fridays. Needs more staff during peak hours.,online,youth,14.4
2024-12-10,4,,online,youth,3.2
2024-09-29,5,Checking account earns zero interest. Should offer at least something.,mobile,senior,23.7
2024-01-24,3,Mobile bill pay keeps failing. Have to call in every time.,online,retail,11.7
2024-06-09,3,Had to submit the same documents three times. Very disorganized process.,online,small_business,17.0
2024-08-04,9,Fee schedule is clearly disclosed and there are no hidden charges.,online,senior,15.1
2024-01-25,10,"The ATMs are always clean, well-lit, and fully stocked with cash.",mobile,small_business,19.9
2024-03-20,10,"Appointment system works great, zero wait time when I scheduled ahead.",mobile,small_business,24.4
2024-09-09,4,Staff seemed uninterested in helping. Felt like I was bothering them.,branch,senior,18.5
2024-02-20,10,Newsletter is informative and has genuinely useful financial tips.,branch,senior,4.6
2024-12-23,10,The CD rates offered are competitive. Locked in a great rate for 18 months.,online,retail,21.9
2024-12-27,3,Checking account earns zero interest. Should offer at least something.,online,senior,8.6
2024-06-02,10,The loan officer walked me through every step. Felt very supported.,branch,youth,20.0
2024-05-14,2,No one told me my direct deposit setup failed until payday. Unacceptable.,online,senior,14.2
2024-04-08,4,Always a long line on Fridays. Needs more staff during peak hours.,phone,retail,24.2
2024-05-06,5,The auto loan approval process took over two weeks. Way too slow.,phone,senior,22.5
2024-09-04,8,My mortgage was approved in 3 days! Incredibly fast and smooth process.,online,senior,23.4
2024-06-10,8,"The ATMs are always clean, well-lit, and fully stocked with cash.",branch,senior,21.7
2024-06-19,10,Proactive fraud alert saved me. Impressed with how fast the team reached out.,online,small_business,7.0
2024-02-11,10,The monthly statement is clear and easy to understand. No surprises.,branch,retail,17.0
2024-04-07,3,Customer service rep was curt and unhelpful over the phone.,online,retail,13.2
2024-05-29,9,The branch manager went above and beyond to resolve my issue. Thank you!,phone,senior,21.0
2024-10-30,3,Had to submit the same documents three times. Very disorganized process.,mobile,retail,7.3
2024-11-08,6,"The teller line was incredibly long today, waited over 45 minutes just to make a deposit.",mobile,senior,22.9
2024-04-12,10,Love the new mobile app update! Mobile deposit works perfectly now.,mobile,small_business,3.6
2024-07-26,5,Credit card APR is too high. Will be transferring my balance elsewhere.,online,small_business,24.5
2024-12-22,8,,online,small_business,22.2
2024-11-18,9,"The ATMs are always clean, well-lit, and fully stocked with cash.",online,senior,10.3
2024-12-05,5,Credit card APR is too high. Will be transferring my balance elsewhere.,mobile,senior,24.1
2024-12-21,4,Mobile bill pay keeps failing. Have to call in every time.,online,retail,11.6
2024-03-31,10,Staff are knowledgeable and patient. Never feel rushed.,branch,small_business,18.5
2024-08-28,8,My financial advisor remembered details from our last meeting. Very personalized.,mobile,youth,17.8
2024-12-05,5,Savings account interest rate is embarrassingly low compared to online banks.,phone,retail,20.6
2024-06-09,9,My financial advisor remembered details from our last meeting. Very personalized.,branch,senior,22.5
2024-07-05,2,,branch,youth,8.5
2024-04-07,1,Charged twice for the same service and it took weeks to get a refund.,online,senior,14.1
2024-09-04,8,Wait times at the branch have improved significantly. In and out in 5 minutes!,phone,retail,20.9
2024-02-27,10,The branch manager went above and beyond to resolve my issue. Thank you!,phone,small_business,1.9
2024-10-01,4,Interest rate on my personal loan was higher than other banks offered.,online,small_business,7.3
2024-08-03,10,The monthly statement is clear and easy to understand. No surprises.,branch,senior,24.0
2024-05-30,4,Got a letter about policy changes but it was confusing legal jargon.,online,small_business,6.5
2024-03-21,4,Too much paperwork required for a small personal loan. Overly bureaucratic.,phone,small_business,12.9
2024-10-02,9,I was surprised how quickly I was helped at the branch. No wait at all.,mobile,youth,11.1
2024-07-28,3,The auto loan approval process took over two weeks. Way too slow.,branch,small_business,8.6
2024-01-29,8,"Quick and efficient service, the staff managed the queue well.",branch,youth,10.3
2024-08-14,5,Too much paperwork required for a small personal loan. Overly bureaucratic.,online,senior,22.5
2024-07-31,2,,mobile,small_business,19.8
2024-07-02,9,,phone,youth,1.0
2024-05-18,6,The monthly maintenance fee is too high for a basic checking account.,mobile,youth,21.1
2024-01-01,9,Fee schedule is clearly disclosed and there are no hidden charges.,online,senior,1.8
2024-07-21,6,Savings account interest rate is embarrassingly low compared to online banks.,online,small_business,7.0
2024-06-22,10,ATM network is extensive. Have never had trouble finding one while traveling.,branch,small_business,5.2
2024-03-08,6,App logged me out mid-transfer and I had to start over. Very annoying.,branch,small_business,9.6
2024-05-15,7,Every staff member I interacted with was friendly and professional.,online,youth,18.3
2024-03-25,10,Recent app redesign is clean and much easier to use than before.,phone,senior,3.5
2024-07-24,10,The loan officer walked me through every step. Felt very supported.,mobile,senior,0.6
2024-02-28,9,The HELOC process was straightforward and the team was very helpful.,branch,small_business,12.7
2024-03-21,1,Wire transfer fee is  per transaction. Way too expensive.,phone,youth,16.2
2024-02-21,8,Recent app redesign is clean and much easier to use than before.,online,youth,4.5
2024-09-06,10,Waived my overdraft fee as a one-time courtesy. Really appreciated that.,branch,retail,6.3
2024-10-26,9,No monthly fee if you maintain a low minimum balance. Very fair.,mobile,retail,24.0
2024-09-23,9,The HELOC process was straightforward and the team was very helpful.,mobile,youth,11.3
2024-12-25,2,Got charged an inactivity fee I had no idea existed. Very misleading.,branch,senior,5.9
2024-02-08,2,,mobile,senior,24.2
2024-04-14,3,"The drive-through line moved really slowly, took me 20 minutes during lunch.",mobile,youth,11.2
2024-10-25,5,Phone hold times are unacceptable. Spent 30 minutes waiting to speak to someone.,online,small_business,1.5
2024-11-05,3,The monthly maintenance fee is too high for a basic checking account.,branch,small_business,24.1
2024-10-17,10,ATM fee reimbursement policy is excellent. Use any ATM for free.,branch,senior,20.5
2024-02-27,7,Wait times at the branch have improved significantly. In and out in 5 minutes!,mobile,retail,20.9
2024-10-26,4,Savings account interest rate is embarrassingly low compared to online banks.,online,retail,12.0
2024-05-01,8,Newsletter is informative and has genuinely useful financial tips.,online,senior,5.7
2024-05-22,8,Love that your ATMs are in most grocery stores near me.,online,youth,23.5
2024-05-26,8,The branch manager went above and beyond to resolve my issue. Thank you!,phone,youth,22.4
2024-10-01,5,"The drive-through line moved really slowly, took me 20 minutes during lunch.",phone,retail,7.7
2024-02-03,3,My small business loan application was rejected with no clear explanation.,phone,small_business,16.6
2024-06-08,9,Greeted by name when I walked in. That small touch means a lot.,online,retail,6.0
2024-03-05,4,The nearest ATM is 15 miles away. Need more locations in my area.,phone,retail,21.9
2024-08-13,7,Text and email alerts are timely and easy to customize. Very useful.,online,retail,18.2
2024-07-05,6,The teller was rude and dismissive when I asked a simple question.,branch,youth,5.6
2024-12-16,10,Love the new mobile app update! Mobile deposit works perfectly now.,mobile,retail,11.1
2024-12-28,9,The app is intuitive and easy to navigate. Best banking app I have used.,mobile,retail,22.7
2024-02-17,3,My loan rate keeps fluctuating in ways I do not understand.,online,small_business,8.0
2024-10-08,7,Love the new mobile app update! Mobile deposit works perfectly now.,branch,retail,23.2
2024-04-17,5,The new teller made an error and was unapologetic about it.,mobile,youth,12.9
2024-05-31,5,There is no ATM within walking distance of my neighborhood.,mobile,senior,16.8
2024-12-08,7,Newsletter is informative and has genuinely useful financial tips.,mobile,senior,17.6
2024-03-23,9,The HELOC process was straightforward and the team was very helpful.,branch,youth,12.5
2024-10-06,10,Refinancing my home loan was quick and the rate was excellent.,mobile,senior,5.9
2024-07-28,10,Student checking has no fees at all. Perfect for my situation.,mobile,retail,12.0
2024-12-18,3,There is no ATM within walking distance of my neighborhood.,online,youth,12.8
2024-10-12,5,,branch,senior,0.8
2024-03-14,8,No monthly fee if you maintain a low minimum balance. Very fair.,phone,senior,6.8
2024-10-02,2,,online,senior,9.6
2024-08-11,9,The app is intuitive and easy to navigate. Best banking app I have used.,online,youth,16.9
2024-08-23,8,"Rate was locked in immediately during the application, no surprises at closing.",mobile,small_business,1.1
2024-09-03,4,,phone,retail,12.0
2024-05-12,3,App logged me out mid-transfer and I had to start over. Very annoying.,phone,retail,13.2
2024-05-07,9,The CD rates offered are competitive. Locked in a great rate for 18 months.,phone,senior,24.4
2024-09-30,0,The nearest ATM is 15 miles away. Need more locations in my area.,online,retail,2.6
2024-01-05,10,The monthly statement is clear and easy to understand. No surprises.,online,youth,17.1
2024-07-23,4,Mobile bill pay keeps failing. Have to call in every time.,mobile,senior,2.7
2024-07-13,5,Staff seemed uninterested in helping. Felt like I was bothering them.,mobile,youth,10.4
2024-04-11,1,Mobile check deposit feature is broken. Keeps saying image is too blurry.,mobile,retail,17.6
2024-07-31,3,The ATM at the main branch is out of service more often than not.,phone,retail,7.4
2024-10-20,8,"Appointment system works great, zero wait time when I scheduled ahead.",online,senior,8.8
2024-04-19,4,The nearest ATM is 15 miles away. Need more locations in my area.,online,small_business,19.7
2024-12-11,6,Interest rate on my personal loan was higher than other banks offered.,online,youth,15.9
